observation_date,IR3TIB01DEQ156N
2000-01-01,3.5423160800552100
2000-04-01,4.2630168350168400
2000-07-01,4.7376004140786705
2000-10-01,5.0241283891546997
2001-01-01,4.7450545454545399
2001-04-01,4.5907510822510798
2001-07-01,4.2678360342556001
2001-10-01,3.4434800907627001
2002-01-01,3.3622242424242401
2002-04-01,3.4460137085137101
2002-07-01,3.3573506493506500
2002-10-01,3.1088179089026902
2003-01-01,2.6830735209235201
2003-04-01,2.3619103174603202
2003-07-01,2.1392634105025401
2003-10-01,2.1496495169082102
2004-01-01,2.0629507591442402
2004-04-01,2.0824296536796498
2004-07-01,2.1163030303030301
2004-10-01,2.1636084760649998
2005-01-01,2.1403230158730202
2005-04-01,2.1246399711399699
2005-07-01,2.1303477319781701
2005-10-01,2.3434466089466102
2006-01-01,2.6115468379446600
2006-04-01,2.8894865319865302
2006-07-01,3.2213498964803300
2006-10-01,3.5944641148325398
2007-01-01,3.8203242424242401
2007-04-01,4.0647962330067600
2007-07-01,4.5004968379446604
2007-10-01,4.7247683933153004
2008-01-01,4.4800030378977693
2008-04-01,4.8604682539682500
2008-07-01,4.9817907647907695
2008-10-01,4.2146686680469294
2009-01-01,2.0116761183261200
2009-04-01,1.3106363636363600
2009-07-01,0.8691745404354100
2009-10-01,0.7219119769119769
2010-01-01,0.6621355072463770
2010-04-01,0.6862715728715730
2010-07-01,0.8749393939393940
2010-10-01,1.0204692577953400
2011-01-01,1.0931699447895100
2011-04-01,1.4116307814992000
2011-07-01,1.5620535165317799
2011-10-01,1.4955447330447300
2012-01-01,1.0429891774891800
2012-04-01,0.6960273410799730
2012-07-01,0.3585789196310940
2012-10-01,0.1951289092295960
2013-01-01,0.2114363636363640
2013-04-01,0.2067940115440120
2013-07-01,0.2235121714034760
2013-10-01,0.2409023464458250
2014-01-01,0.2951595959595960
2014-04-01,0.2985833333333330
2014-07-01,0.1645686053077360
2014-10-01,0.0814711525189786
2015-01-01,0.0460161616161616
2015-04-01,-0.0065258373205741
2015-07-01,-0.0278170838823013
2015-10-01,-0.0891760461760462
2016-01-01,-0.1860817460317460
2016-04-01,-0.2580937950937950
2016-07-01,-0.2981258548215070
2016-10-01,-0.3124812409812410
2017-01-01,-0.3278310935441370
2017-04-01,-0.3299478114478110
2017-07-01,-0.3296321601104210
2017-10-01,-0.3288133971291870
2018-01-01,-0.3282864357864360
2018-04-01,-0.3252416305916310
2018-07-01,-0.3195257575757580
2018-10-01,-0.3153180084598850
2019-01-01,-0.3085468253968250
2019-04-01,-0.3170712121212120
2019-07-01,-0.3967076039902130
2019-10-01,-0.4029517598343680
2020-01-01,-0.4055409090909090
2020-04-01,-0.3006666666666670
2020-07-01,-0.4717361189535100
2020-10-01,-0.5226948051948050
2021-01-01,-0.5424456521739131
2021-04-01,-0.5403847763347760
2021-07-01,-0.5458181818181820
2021-10-01,-0.5663765606374300
2022-01-01,-0.5290258799338510
2022-04-01,-0.3576164274322170
2022-07-01,0.4807406048058240
2022-10-01,1.7721233766233799
2023-01-01,2.6319262845849800
2023-04-01,3.3564328063241100
2023-07-01,3.7773871635610798
2023-10-01,3.9574559884559903
2024-01-01,3.9236147186147199
2024-04-01,3.8081719367588898
2024-07-01,3.5553770939205700
2024-10-01,2.9964871698349902
