observation_date,LRUN64TTDEQ156S
2005-01-01,11.115050
2005-04-01,11.549440
2005-07-01,11.394020
2005-10-01,11.141020
2006-01-01,10.926430
2006-04-01,10.440500
2006-07-01,10.063510
2006-10-01,10.079860
2007-01-01,9.154838
2007-04-01,8.790888
2007-07-01,8.647995
2007-10-01,8.486554
2008-01-01,7.911116
2008-04-01,7.948948
2008-07-01,7.373420
2008-10-01,7.280342
2009-01-01,7.360642
2009-04-01,7.544471
2009-07-01,7.622466
2009-10-01,7.219191
2010-01-01,7.195004
2010-04-01,6.718312
2010-07-01,6.444830
2010-10-01,6.369364
2011-01-01,5.991462
2011-04-01,5.611482
2011-07-01,5.508965
2011-10-01,5.256827
2012-01-01,5.269039
2012-04-01,5.144871
2012-07-01,5.153695
2012-10-01,5.095622
2013-01-01,5.196289
2013-04-01,5.031083
2013-07-01,4.935694
2013-10-01,4.925813
2014-01-01,4.939929
2014-04-01,4.755089
2014-07-01,4.713511
2014-10-01,4.734482
2015-01-01,4.560509
2015-04-01,4.498984
2015-07-01,4.265063
2015-10-01,4.417070
2016-01-01,4.134698
2016-04-01,4.062435
2016-07-01,3.893326
2016-10-01,3.747471
2017-01-01,3.748566
2017-04-01,3.644718
2017-07-01,3.514916
2017-10-01,3.484807
2018-01-01,3.305585
2018-04-01,3.347770
2018-07-01,3.194283
2018-10-01,3.144229
2019-01-01,3.049140
2019-04-01,2.963760
2019-07-01,2.975933
2019-10-01,3.032791
2020-01-01,3.339190
2020-04-01,3.706380
2020-07-01,3.949106
2020-10-01,3.787552
2021-01-01,4.033720
2021-04-01,3.784806
2021-07-01,3.405494
2021-10-01,3.431112
2022-01-01,3.184953
2022-04-01,3.209244
2022-07-01,3.262516
2022-10-01,3.177502
2023-01-01,3.055781
2023-04-01,3.105630
2023-07-01,3.143899
2023-10-01,3.278131
2024-01-01,3.355713
2024-04-01,3.479220
2024-07-01,3.547826
2024-10-01,3.471055
