observation_date,INDCPIALLQINMEI_PC1
2000-01-01,3.68292
2000-04-01,5.26314
2000-07-01,4.14386
2000-10-01,2.98620
2001-01-01,2.93437
2001-04-01,2.72728
2001-07-01,4.65466
2001-10-01,4.75837
2002-01-01,5.10127
2002-04-01,4.49852
2002-07-01,4.01720
2002-10-01,3.61958
2003-01-01,3.78301
2003-04-01,4.72829
2003-07-01,3.37933
2003-10-01,3.35618
2004-01-01,3.98899
2004-04-01,2.69543
2004-07-01,4.20278
2004-10-01,4.17493
2005-01-01,4.23281
2005-04-01,4.00262
2005-07-01,3.71320
2005-10-01,5.02547
2006-01-01,4.50508
2006-04-01,5.94915
2006-07-01,6.22314
2006-10-01,6.46412
2007-01-01,7.00280
2007-04-01,6.31869
2007-07-01,6.70242
2007-10-01,5.51180
2008-01-01,6.28272
2008-04-01,7.75194
2008-07-01,9.04524
2008-10-01,10.19902
2009-01-01,9.35960
2009-04-01,8.87290
2009-07-01,11.75115
2009-10-01,13.31828
2010-01-01,15.31531
2010-04-01,13.65640
2010-07-01,10.30926
2010-10-01,9.16335
2011-01-01,8.98438
2011-04-01,8.91472
2011-07-01,9.15888
2011-10-01,8.39417
2012-01-01,7.16847
2012-04-01,10.14235
2012-07-01,9.76027
2012-10-01,10.10101
2013-01-01,11.70568
2013-04-01,10.66237
2013-07-01,10.76444
2013-10-01,10.55045
2014-01-01,6.88623
2014-04-01,6.86132
2014-07-01,6.76056
2014-10-01,4.97925
2015-01-01,6.58264
2015-04-01,5.87431
2015-07-01,4.61740
2015-10-01,6.45590
2016-01-01,5.65042
2016-04-01,6.19352
2016-07-01,5.29641
2016-10-01,2.72274
2017-01-01,2.36319
2017-04-01,1.45815
2017-07-01,2.39520
2017-10-01,3.73492
2018-01-01,4.73876
2018-04-01,3.95205
2018-07-01,5.61404
2018-10-01,5.11038
2019-01-01,7.07663
2019-04-01,8.52538
2019-07-01,6.42303
2019-10-01,8.61878
2020-01-01,6.60885
2020-04-01,5.20169
2020-07-01,5.53063
2020-10-01,4.95234
2021-01-01,4.43595
2021-04-01,5.32578
2021-07-01,4.82436
2021-10-01,4.96929
2022-01-01,5.40920
2022-04-01,6.48458
2022-07-01,6.04176
2022-10-01,5.66497
2023-01-01,6.03559
2023-04-01,5.02720
2023-07-01,6.38730
2023-10-01,4.78227
2024-01-01,4.56368
2024-04-01,3.79965
2024-07-01,2.92988
2024-10-01,3.93943
