observation_date,JPNRGDPEXP_PCH
2000-01-01,1.87972
2000-04-01,0.61079
2000-07-01,-0.04489
2000-10-01,1.03632
2001-01-01,0.58456
2001-04-01,-0.75857
2001-07-01,-1.17712
2001-10-01,-0.21833
2002-01-01,0.25338
2002-04-01,0.71773
2002-07-01,0.30783
2002-10-01,0.23359
2003-01-01,-0.11510
2003-04-01,0.82508
2003-07-01,0.29028
2003-10-01,1.01133
2004-01-01,0.85636
2004-04-01,-0.07395
2004-07-01,0.55432
2004-10-01,-0.38105
2005-01-01,0.61904
2005-04-01,0.96093
2005-07-01,0.90097
2005-10-01,0.28173
2006-01-01,0.07794
2006-04-01,0.27657
2006-07-01,-0.01482
2006-10-01,1.34532
2007-01-01,0.71932
2007-04-01,0.15444
2007-07-01,-0.65808
2007-10-01,0.56961
2008-01-01,0.21013
2008-04-01,-0.48037
2008-07-01,-1.11473
2008-10-01,-2.37127
2009-01-01,-4.43509
2009-04-01,1.11988
2009-07-01,-0.65275
2009-10-01,1.60805
2010-01-01,1.23949
2010-04-01,1.38036
2010-07-01,1.72035
2010-10-01,-0.85589
2011-01-01,-1.43602
2011-04-01,-0.63760
2011-07-01,2.38999
2011-10-01,0.03796
2012-01-01,1.51821
2012-04-01,-0.92478
2012-07-01,-0.39828
2012-10-01,-0.05180
2013-01-01,1.27370
2013-04-01,1.02894
2013-07-01,0.94690
2013-10-01,-0.13784
2014-01-01,1.04211
2014-04-01,-1.43624
2014-07-01,0.19405
2014-10-01,0.58075
2015-01-01,1.60603
2015-04-01,0.06290
2015-07-01,0.14655
2015-10-01,-0.19036
2016-01-01,0.86484
2016-04-01,-0.33990
2016-07-01,0.22509
2016-10-01,0.01739
2017-01-01,0.72362
2017-04-01,0.32344
2017-07-01,1.13880
2017-10-01,0.15892
2018-01-01,-0.16016
2018-04-01,0.63134
2018-07-01,-0.48767
2018-10-01,0.07393
2019-01-01,0.12109
2019-04-01,0.39360
2019-07-01,0.05080
2019-10-01,-2.87248
2020-01-01,0.37818
2020-04-01,-7.22605
2020-07-01,4.99097
2020-10-01,1.66965
2021-01-01,1.06964
2021-04-01,0.72280
2021-07-01,-0.14857
2021-10-01,1.20335
2022-01-01,-0.37010
2022-04-01,0.96320
2022-07-01,-0.36207
2022-10-01,0.45892
2023-01-01,0.72583
2023-04-01,0.19804
2023-07-01,-1.37978
2023-10-01,0.53659
2024-01-01,-0.57915
2024-04-01,0.17906
2024-07-01,0.67431
2024-10-01,0.47341
