observation_date,JPNCPIALLQINMEI_PC1
2000-01-01,-0.61308
2000-04-01,-0.71283
2000-07-01,-0.64692
2000-10-01,-0.78312
2001-01-01,-0.41124
2001-04-01,-0.71795
2001-07-01,-0.71967
2001-10-01,-0.92656
2002-01-01,-1.37646
2002-04-01,-0.86088
2002-07-01,-0.79392
2002-10-01,-0.55421
2003-01-01,-0.24424
2003-04-01,-0.24314
2003-07-01,-0.24357
2003-10-01,-0.31348
2004-01-01,-0.13991
2004-04-01,-0.31338
2004-07-01,-0.10463
2004-10-01,0.52411
2005-01-01,0.03502
2005-04-01,-0.10478
2005-07-01,-0.31424
2005-10-01,-0.76469
2006-01-01,-0.14005
2006-04-01,0.17482
2006-07-01,0.63048
2006-10-01,0.35026
2007-01-01,-0.10518
2007-04-01,-0.06981
2007-07-01,-0.13923
2007-10-01,0.48867
2008-01-01,0.98280
2008-04-01,1.32728
2008-07-01,2.16104
2008-10-01,1.04203
2009-01-01,-0.10428
2009-04-01,-0.93071
2009-07-01,-2.25181
2009-10-01,-2.02819
2010-01-01,-0.86987
2010-04-01,-0.80028
2010-07-01,-1.01221
2010-10-01,-0.28070
2011-01-01,-0.52651
2011-04-01,-0.38583
2011-07-01,0.14105
2011-10-01,-0.31668
2012-01-01,0.31757
2012-04-01,0.17605
2012-07-01,-0.42254
2012-10-01,-0.24709
2013-01-01,-0.66830
2013-04-01,-0.28119
2013-07-01,0.88401
2013-10-01,1.41542
2014-01-01,1.52265
2014-04-01,3.56009
2014-07-01,3.36492
2014-10-01,2.58200
2015-01-01,2.30207
2015-04-01,0.57866
2015-07-01,0.10172
2015-10-01,0.23811
2016-01-01,0.03409
2016-04-01,-0.37228
2016-07-01,-0.47429
2016-10-01,0.30537
2017-01-01,0.34083
2017-04-01,0.40760
2017-07-01,0.61266
2017-10-01,0.57509
2018-01-01,1.29072
2018-04-01,0.67658
2018-07-01,1.11640
2018-10-01,0.87451
2019-01-01,0.30189
2019-04-01,0.73926
2019-07-01,0.33450
2019-10-01,0.50023
2020-01-01,0.66866
2020-04-01,0.13338
2020-07-01,0.03341
2020-10-01,-0.92900
2021-01-01,-0.53141
2021-04-01,-0.73276
