observation_date,IRLTLT01JPQ156N
2000-01-01,1.7686666666666699
2000-04-01,1.7030000000000001
2000-07-01,1.7716666666666701
2000-10-01,1.7343333333333300
2001-01-01,1.3640000000000001
2001-04-01,1.2390000000000001
2001-07-01,1.3313333333333299
2001-10-01,1.3416666666666699
2002-01-01,1.4473333333333300
2002-04-01,1.3623333333333301
2002-07-01,1.2266666666666699
2002-10-01,1.0163333333333300
2003-01-01,0.7960000000000000
2003-04-01,0.5896666666666670
2003-07-01,1.2606666666666699
2003-10-01,1.3666666666666700
2004-01-01,1.3196666666666701
2004-04-01,1.6106666666666700
2004-07-01,1.5963333333333301
2004-10-01,1.4440000000000000
2005-01-01,1.3513333333333299
2005-04-01,1.2126666666666699
2005-07-01,1.3700000000000001
2005-10-01,1.4850000000000001
2006-01-01,1.6346666666666700
2006-04-01,1.9019999999999999
2006-07-01,1.7410000000000001
2006-10-01,1.6843333333333299
2007-01-01,1.6579999999999999
2007-04-01,1.7629999999999999
2007-07-01,1.6946666666666701
2007-10-01,1.5463333333333300
2008-01-01,1.3676666666666699
2008-04-01,1.6596666666666700
2008-07-01,1.4830000000000001
2008-10-01,1.3590000000000000
2009-01-01,1.2906666666666700
2009-04-01,1.4153333333333300
2009-07-01,1.3193333333333299
2009-10-01,1.3096666666666701
2010-01-01,1.3213333333333299
2010-04-01,1.2076666666666700
2010-07-01,0.9986666666666670
2010-10-01,1.0656666666666701
2011-01-01,1.2226666666666699
2011-04-01,1.1390000000000000
2011-07-01,1.0243333333333300
2011-10-01,1.0236666666666701
2012-01-01,0.9623333333333330
2012-04-01,0.8496666666666670
2012-07-01,0.7790000000000000
2012-10-01,0.7513333333333330
2013-01-01,0.6453333333333330
2013-04-01,0.7633333333333330
2013-07-01,0.7223333333333330
2013-10-01,0.6276666666666670
2014-01-01,0.6016666666666670
2014-04-01,0.5706666666666670
2014-07-01,0.5040000000000000
2014-10-01,0.4050000000000000
2015-01-01,0.3350000000000000
2015-04-01,0.3950000000000000
2015-07-01,0.3800000000000000
2015-10-01,0.2900000000000000
2016-01-01,-0.0066666666666666
2016-04-01,-0.1450000000000000
2016-07-01,-0.1166666666666670
2016-10-01,0.0033333333333333
2017-01-01,0.0666666666666667
2017-04-01,0.0433333333333333
2017-07-01,0.0483333333333333
2017-10-01,0.0483333333333333
2018-01-01,0.0566666666666667
2018-04-01,0.0366666666666667
2018-07-01,0.0983333333333333
2018-10-01,0.0683333333333333
2019-01-01,-0.0366666666666667
2019-04-01,-0.1016666666666670
2019-07-01,-0.2183333333333330
2019-10-01,-0.0850000000000000
2020-01-01,-0.0716666666666667
2020-04-01,-0.0033333333333333
2020-07-01,0.0233333333333333
2020-10-01,0.0300000000000000
2021-01-01,0.1083333333333330
2021-04-01,0.0733333333333333
2021-07-01,0.0333333333333333
2021-10-01,0.0716666666666667
2022-01-01,0.1866666666666670
2022-04-01,0.2250000000000000
2022-07-01,0.2133333333333330
2022-10-01,0.3016666666666670
2023-01-01,0.4366666666666670
2023-04-01,0.4033333333333330
2023-07-01,0.6666666666666670
2023-10-01,0.7433333333333330
2024-01-01,0.7216666666666670
2024-04-01,0.9966666666666670
2024-07-01,0.9300000000000000
2024-10-01,1.0249999999999999
