observation_date,GBRCPIALLQINMEI_PC1
2000-01-01,1.11111
2000-04-01,1.10041
2000-07-01,1.23967
2000-10-01,1.37174
2001-01-01,1.23626
2001-04-01,1.76871
2001-07-01,1.76871
2001-10-01,1.35318
2002-01-01,1.76391
2002-04-01,1.20321
2002-07-01,1.33690
2002-10-01,1.73565
2003-01-01,1.46667
2003-04-01,1.45310
2003-07-01,1.31926
2003-10-01,1.18110
2004-01-01,1.44547
2004-04-01,1.30208
2004-07-01,1.30208
2004-10-01,1.55642
2005-01-01,1.68394
2005-04-01,1.92802
2005-07-01,2.44216
2005-10-01,2.29885
2006-01-01,2.16561
2006-04-01,2.39596
2006-07-01,2.50941
2006-10-01,2.74657
2007-01-01,2.74314
2007-04-01,2.58621
2007-07-01,1.95838
2007-10-01,2.18712
2008-01-01,2.54854
2008-04-01,3.36134
2008-07-01,4.56182
2008-10-01,3.68609
2009-01-01,2.95858
2009-04-01,1.97445
2009-07-01,1.26292
2009-10-01,1.60550
2010-01-01,2.41379
2010-04-01,2.50569
2010-07-01,2.38095
2010-10-01,2.82167
2011-01-01,3.47924
2011-04-01,3.77778
2011-07-01,3.98671
2011-10-01,3.95170
2012-01-01,3.14534
2012-04-01,2.56959
2012-07-01,2.34292
2012-10-01,2.42872
2013-01-01,2.41851
2013-04-01,2.40084
2013-07-01,2.39334
2013-10-01,1.95876
2014-01-01,1.64271
2014-04-01,1.63099
2014-07-01,1.42276
2014-10-01,1.11223
2015-01-01,0.40404
2015-04-01,0.30090
2015-07-01,0.40080
2015-10-01,0.40000
2016-01-01,0.70423
2016-04-01,0.80000
2016-07-01,0.99800
2016-10-01,1.49402
2017-01-01,2.19780
2017-04-01,2.57937
2017-07-01,2.66798
2017-10-01,2.74779
2018-01-01,2.44379
2018-04-01,2.32108
2018-07-01,2.30991
2018-10-01,2.10124
2019-01-01,1.81298
2019-04-01,1.89036
2019-07-01,1.78739
2019-10-01,1.40318
2020-01-01,1.68697
2020-04-01,0.83488
2020-07-01,0.83179
2020-10-01,0.83026
2021-01-01,0.92166
2021-04-01,2.02392
2021-07-01,2.65811
2021-10-01,4.39158
2022-01-01,5.47945
2022-04-01,7.93508
2022-07-01,8.75000
2022-10-01,9.37774
2023-01-01,9.00433
2023-04-01,7.68588
2023-07-01,6.32184
2023-10-01,4.40705
2024-01-01,3.89198
2024-04-01,2.94802
2024-07-01,2.93436
2024-10-01,3.37682
