observation_date,LRUN64TTGBQ156S
2000-01-01,5.852907
2000-04-01,5.552253
2000-07-01,5.374655
2000-10-01,5.268674
2001-01-01,5.125165
2001-04-01,5.074481
2001-07-01,5.146675
2001-10-01,5.236691
2002-01-01,5.213862
2002-04-01,5.203011
2002-07-01,5.352957
2002-10-01,5.177505
2003-01-01,5.218138
2003-04-01,4.985428
2003-07-01,5.103368
2003-10-01,4.935821
2004-01-01,4.844810
2004-04-01,4.861845
2004-07-01,4.738078
2004-10-01,4.766902
2005-01-01,4.736185
2005-04-01,4.812491
2005-07-01,4.775338
2005-10-01,5.195937
2006-01-01,5.294529
2006-04-01,5.540635
2006-07-01,5.551512
2006-10-01,5.586943
2007-01-01,5.582548
2007-04-01,5.409236
2007-07-01,5.389675
2007-10-01,5.239702
2008-01-01,5.256452
2008-04-01,5.427594
2008-07-01,5.932921
2008-10-01,6.449624
2009-01-01,7.174554
2009-04-01,7.883197
2009-07-01,7.967363
2009-10-01,7.899613
2010-01-01,8.135108
2010-04-01,8.003892
2010-07-01,7.912322
2010-10-01,8.025610
2011-01-01,7.950222
2011-04-01,8.114282
2011-07-01,8.479542
2011-10-01,8.547475
2012-01-01,8.353651
2012-04-01,8.166656
2012-07-01,8.029849
2012-10-01,7.980430
2013-01-01,8.029290
2013-04-01,7.916070
2013-07-01,7.796567
2013-10-01,7.359129
2014-01-01,6.900035
2014-04-01,6.421295
2014-07-01,6.117046
2014-10-01,5.834357
2015-01-01,5.665179
2015-04-01,5.730965
2015-07-01,5.441581
2015-10-01,5.202294
2016-01-01,5.185508
2016-04-01,5.042955
2016-07-01,4.965902
2016-10-01,4.860982
2017-01-01,4.686534
2017-04-01,4.525431
2017-07-01,4.354674
2017-10-01,4.449094
2018-01-01,4.290267
2018-04-01,4.144935
2018-07-01,4.192332
2018-10-01,4.125065
2019-01-01,3.923541
2019-04-01,3.990040
2019-07-01,3.977877
2019-10-01,3.789416
2020-01-01,4.195231
2020-04-01,4.180153
2020-07-01,5.067547
2020-10-01,5.374767
2021-01-01,5.007499
2021-04-01,4.743144
2021-07-01,4.461702
2021-10-01,4.249292
2022-01-01,3.865162
2022-04-01,3.857286
2022-07-01,3.812772
2022-10-01,3.997823
2023-01-01,4.086849
2023-04-01,4.319176
2023-07-01,4.225225
2023-10-01,3.969470
2024-01-01,4.410001
2024-04-01,4.283577
2024-07-01,4.362794
2024-10-01,4.460747
